"","poly","x","y"
"3728",27,0.224301,-0.305879
"3729",27,0.225798,-0.305607
"3730",27,0.227406,-0.305313
"3731",27,0.228514,-0.305109
"3732",27,0.233002,-0.304283
"3733",27,0.233494,-0.304191
"3734",27,0.233498,-0.30419
"3735",27,0.236682,-0.303591
"3736",27,0.236984,-0.303534
"3737",27,0.240999,-0.302777
"3738",27,0.244911,-0.302035
"3739",27,0.244913,-0.302034
"3740",27,0.24504,-0.302009
"3741",27,0.247903,-0.30144
"3742",27,0.248202,-0.30138
"3743",27,0.251041,-0.300811
"3744",27,0.251149,-0.30079
"3745",27,0.253803,-0.300231
"3746",27,0.254731,-0.300034
"3747",27,0.256637,-0.299639
"3748",27,0.258596,-0.29923
"3749",27,0.26093,-0.298738
"3750",27,0.26101,-0.298721
"3751",27,0.261013,-0.29872
"3752",27,0.262282,-0.29845
"3753",27,0.26649,-0.297543
"3754",27,0.266795,-0.297476
"3755",27,0.268359,-0.303348
"3756",27,0.26836,-0.303351
"3757",27,0.268745,-0.304723
"3758",27,0.268984,-0.305574
"3759",27,0.269478,-0.307334
"3760",27,0.270975,-0.312659
"3761",27,0.271906,-0.315963
"3762",27,0.271906,-0.315964
"3763",27,0.272261,-0.317232
"3764",27,0.272347,-0.317538
"3765",27,0.272744,-0.318942
"3766",27,0.275603,-0.318434
"3767",27,0.277432,-0.318055
"3768",27,0.279497,-0.317623
"3769",27,0.2813,-0.317216
"3770",27,0.281305,-0.319508
